Servidor, Protocolo, Data_Hora_Ini, Data_Hora_End, Duracao
"vsrv8","SSTP","2016-12-26 00:08:00","2016-12-26 02:26:00",138
"vsrv8","PPTP","2016-12-26 01:43:00","2016-12-26 02:38:00",55
"vsrv8","PPTP","2016-12-26 01:46:00","2016-12-26 03:33:00",107
"vsrv17","PPTP","2016-12-26 03:26:00","2016-12-26 04:03:00",37
"vsrv8","SSTP","2016-12-25 17:49:00","2016-12-26 04:38:00",649
"vsrv11","PPTP","2016-12-26 09:54:00","2016-12-26 09:57:00",3
"vsrv11","PPTP","2016-12-26 10:00:00","2016-12-26 10:02:00",2
"vsrv17","SSTP","2016-12-26 10:20:00","2016-12-26 10:24:00",4
"vsrv17","SSTP","2016-12-26 10:28:00","2016-12-26 10:33:00",5
"vsrv8","SSTP","2016-12-26 10:49:00","2016-12-26 11:42:00",53
"vsrv17","SSTP","2016-12-26 11:49:00","2016-12-26 11:51:00",2
"vsrv16","SSTP","2016-12-26 11:23:00","2016-12-26 12:13:00",50
"vsrv16","PPTP","2016-12-26 09:37:00","2016-12-26 12:22:00",165
"vsrv8","SSTP","2016-12-26 12:16:00","2016-12-26 12:26:00",10
"vsrv16","PPTP","2016-12-26 10:45:00","2016-12-26 12:29:00",104
"vsrv16","SSTP","2016-12-26 10:59:00","2016-12-26 12:48:00",109
"vsrv8","PPTP","2016-12-26 11:14:00","2016-12-26 13:06:00",112
"vsrv16","SSTP","2016-12-26 12:29:00","2016-12-26 13:07:00",38
"vsrv11","PPTP","2016-12-26 13:36:00","2016-12-26 13:43:00",7
"vsrv17","PPTP","2016-12-26 13:39:00","2016-12-26 13:57:00",18
"vsrv11","PPTP","2016-12-26 13:48:00","2016-12-26 13:59:00",11
"vsrv16","PPTP","2016-12-26 12:52:00","2016-12-26 14:10:00",78
"vsrv16","PPTP","2016-12-26 14:10:00","2016-12-26 14:27:00",17
"vsrv16","SSTP","2016-12-26 09:52:00","2016-12-26 14:31:00",279
"vsrv17","SSTP","2016-12-26 10:09:00","2016-12-26 14:34:00",265
"vsrv16","PPTP","2016-12-26 14:16:00","2016-12-26 14:34:00",18
"vsrv17","PPTP","2016-12-26 14:19:00","2016-12-26 14:38:00",19
"vsrv11","PPTP","2016-12-26 14:41:00","2016-12-26 14:42:00",1
"vsrv17","PPTP","2016-12-26 13:46:00","2016-12-26 15:00:00",74
"vsrv16","SSTP","2016-12-26 13:27:00","2016-12-26 15:04:00",97
"vsrv11","SSTP","2016-12-26 15:04:00","2016-12-26 15:18:00",14
"vsrv8","PPTP","2016-12-26 15:18:00","2016-12-26 15:19:00",1
"vsrv11","SSTP","2016-12-26 15:22:00","2016-12-26 15:30:00",8
"vsrv16","SSTP","2016-12-26 15:40:00","2016-12-26 15:42:00",2
"vsrv8","SSTP","2016-12-26 15:49:00","2016-12-26 15:50:00",1
"vsrv17","SSTP","2016-12-26 15:48:00","2016-12-26 15:50:00",2
"vsrv8","SSTP","2016-12-26 15:54:00","2016-12-26 15:55:00",1
"vsrv8","SSTP","2016-12-26 14:34:00","2016-12-26 16:02:00",88
"vsrv8","PPTP","2016-12-26 15:59:00","2016-12-26 16:02:00",3
"vsrv16","SSTP","2016-12-26 15:04:00","2016-12-26 16:07:00",63
"vsrv17","PPTP","2016-12-26 16:06:00","2016-12-26 16:08:00",2
"vsrv17","PPTP","2016-12-26 16:06:00","2016-12-26 16:09:00",3
"vsrv11","SSTP","2016-12-26 15:34:00","2016-12-26 16:24:00",50
"vsrv17","SSTP","2016-12-26 16:28:00","2016-12-26 16:28:00",0
"vsrv17","PPTP","2016-12-26 16:34:00","2016-12-26 16:43:00",9
"vsrv17","PPTP","2016-12-26 16:30:00","2016-12-26 16:44:00",14
"vsrv17","SSTP","2016-12-26 16:49:00","2016-12-26 16:51:00",2
"vsrv8","SSTP","2016-12-26 16:59:00","2016-12-26 17:04:00",5
"vsrv16","PPTP","2016-12-26 17:05:00","2016-12-26 17:10:00",5
"vsrv11","PPTP","2016-12-26 17:12:00","2016-12-26 17:26:00",14
"vsrv11","PPTP","2016-12-26 17:29:00","2016-12-26 17:30:00",1
"vsrv8","SSTP","2016-12-26 14:24:00","2016-12-26 17:41:00",197
"vsrv8","SSTP","2016-12-26 15:54:00","2016-12-26 17:44:00",110
"vsrv17","PPTP","2016-12-26 10:55:00","2016-12-26 17:48:00",413
"vsrv8","SSTP","2016-12-26 17:44:00","2016-12-26 17:49:00",5
"vsrv17","SSTP","2016-12-26 17:46:00","2016-12-26 17:53:00",7
"vsrv16","PPTP","2016-12-26 16:27:00","2016-12-26 17:56:00",89
"vsrv8","PPTP","2016-12-26 16:16:00","2016-12-26 17:58:00",102
"vsrv17","PPTP","2016-12-26 16:41:00","2016-12-26 18:07:00",86
"vsrv17","SSTP","2016-12-26 18:00:00","2016-12-26 18:10:00",10
"vsrv11","SSTP","2016-12-26 16:55:00","2016-12-26 18:12:00",77
"vsrv16","SSTP","2016-12-26 18:17:00","2016-12-26 18:18:00",1
"vsrv17","PPTP","2016-12-26 17:31:00","2016-12-26 18:22:00",51
"vsrv17","PPTP","2016-12-26 15:03:00","2016-12-26 18:23:00",200
"vsrv8","PPTP","2016-12-26 14:44:00","2016-12-26 18:29:00",225
"vsrv11","PPTP","2016-12-26 17:35:00","2016-12-26 18:33:00",58
"vsrv11","OPENVPN_L2","2016-12-26 17:50:00","2016-12-26 18:36:00",46
"vsrv17","PPTP","2016-12-26 18:29:00","2016-12-26 18:39:00",10
"vsrv17","PPTP","2016-12-26 18:11:00","2016-12-26 18:45:00",34
"vsrv11","PPTP","2016-12-26 18:39:00","2016-12-26 19:00:00",21
"vsrv11","OPENVPN_L2","2016-12-26 19:06:00","2016-12-26 19:14:00",8
"vsrv8","SSTP","2016-12-26 17:57:00","2016-12-26 19:24:00",87
"vsrv17","SSTP","2016-12-26 19:18:00","2016-12-26 19:26:00",8
"vsrv11","PPTP","2016-12-26 19:35:00","2016-12-26 19:36:00",1
"vsrv17","PPTP","2016-12-26 19:24:00","2016-12-26 20:03:00",39
"vsrv8","SSTP","2016-12-26 19:38:00","2016-12-26 20:10:00",32
"vsrv16","SSTP","2016-12-26 16:29:00","2016-12-26 20:12:00",223
"vsrv11","SOFTETHER","2016-12-26 09:00:00","2016-12-26 21:26:00",746
"vsrv17","SSTP","2016-12-26 17:54:00","2016-12-26 21:28:00",214
"vsrv16","PPTP","2016-12-26 15:39:00","2016-12-26 21:28:00",349
"vsrv17","PPTP","2016-12-26 21:24:00","2016-12-26 21:28:00",4
"vsrv16","SSTP","2016-12-26 21:34:00","2016-12-26 21:37:00",3
"vsrv17","PPTP","2016-12-26 16:17:00","2016-12-26 21:37:00",320
"vsrv8","SSTP","2016-12-26 21:40:00","2016-12-26 21:41:00",1
"vsrv8","OPENVPN_L2","2016-12-26 21:39:00","2016-12-26 21:59:00",20
"vsrv16","PPTP","2016-12-26 22:07:00","2016-12-26 22:08:00",1
"vsrv16","SSTP","2016-12-26 21:46:00","2016-12-26 22:16:00",30
"vsrv16","PPTP","2016-12-26 22:17:00","2016-12-26 22:18:00",1
"vsrv16","SSTP","2016-12-26 22:17:00","2016-12-26 22:21:00",4
"vsrv11","OPENVPN_L2","2016-12-26 21:11:00","2016-12-26 22:21:00",70
"vsrv17","SSTP","2016-12-26 22:26:00","2016-12-26 22:27:00",1
"vsrv17","SSTP","2016-12-26 22:29:00","2016-12-26 22:30:00",1
"vsrv16","PPTP","2016-12-26 20:42:00","2016-12-26 22:34:00",112
"vsrv16","SSTP","2016-12-26 20:19:00","2016-12-26 22:35:00",136
"vsrv17","SSTP","2016-12-26 22:39:00","2016-12-26 22:44:00",5
"vsrv8","PPTP","2016-12-26 20:37:00","2016-12-26 22:52:00",135
"vsrv16","PPTP","2016-12-26 22:08:00","2016-12-26 22:55:00",47
"vsrv11","PPTP","2016-12-26 19:38:00","2016-12-26 23:04:00",206
"vsrv8","SSTP","2016-12-26 23:00:00","2016-12-26 23:06:00",6
"vsrv8","PPTP","2016-12-26 19:44:00","2016-12-26 23:17:00",213
"vsrv16","PPTP","2016-12-26 19:05:00","2016-12-26 23:36:00",271
"vsrv16","SSTP","2016-12-26 19:27:00","2016-12-26 23:37:00",250
"vsrv8","PPTP","2016-12-26 22:55:00","2016-12-26 23:43:00",48
"vsrv17","SSTP","2016-12-26 22:39:00","2016-12-27 00:22:00",103
"vsrv17","PPTP","2016-12-27","2016-12-27 00:26:00",26
"vsrv16","SSTP","2016-12-26 18:11:00","2016-12-27 00:31:00",380
"vsrv17","SSTP","2016-12-26 21:14:00","2016-12-27 00:36:00",202
"vsrv8","PPTP","2016-12-26 23:10:00","2016-12-27 00:37:00",87
"vsrv8","SSTP","2016-12-27 00:28:00","2016-12-27 00:37:00",9
"vsrv17","SSTP","2016-12-26 19:46:00","2016-12-27 00:46:00",300
"vsrv8","PPTP","2016-12-27 00:38:00","2016-12-27 00:57:00",19
"vsrv16","PPTP","2016-12-26 22:24:00","2016-12-27 01:02:00",158
"vsrv16","PPTP","2016-12-26 15:03:00","2016-12-27 01:07:00",604
"vsrv16","SSTP","2016-12-26 20:15:00","2016-12-27 01:09:00",294
"vsrv11","SOFTETHER","2016-12-26 21:41:00","2016-12-27 01:44:00",243
"vsrv11","SOFTETHER","2016-12-27 01:44:00","2016-12-27 01:44:00",0
"vsrv17","PPTP","2016-12-26 23:37:00","2016-12-27 01:47:00",130
"vsrv8","PPTP","2016-12-26 18:15:00","2016-12-27 01:49:00",454
"vsrv8","PPTP","2016-12-27 01:55:00","2016-12-27 01:59:00",4
"vsrv8","PPTP","2016-12-27 02:02:00","2016-12-27 02:10:00",8
"vsrv16","SSTP","2016-12-26 23:42:00","2016-12-27 02:13:00",151
"vsrv17","SSTP","2016-12-26 18:00:00","2016-12-27 02:19:00",499
"vsrv8","PPTP","2016-12-27 02:49:00","2016-12-27 02:51:00",2
"vsrv8","PPTP","2016-12-27 00:30:00","2016-12-27 06:01:00",331
"vsrv8","SSTP","2016-12-27 09:08:00","2016-12-27 09:10:00",2
"vsrv16","SSTP","2016-12-27 09:15:00","2016-12-27 09:16:00",1
"vsrv16","PPTP","2016-12-27 09:16:00","2016-12-27 09:16:00",0
"vsrv16","PPTP","2016-12-27 09:11:00","2016-12-27 09:21:00",10
"vsrv17","PPTP","2016-12-27 09:28:00","2016-12-27 09:33:00",5
"vsrv16","SSTP","2016-12-27 09:25:00","2016-12-27 09:37:00",12
"vsrv16","SSTP","2016-12-27 09:15:00","2016-12-27 09:38:00",23
"vsrv8","SSTP","2016-12-27 09:20:00","2016-12-27 09:46:00",26
"vsrv16","PPTP","2016-12-27 09:16:00","2016-12-27 10:00:00",44
"vsrv17","SSTP","2016-12-27 09:47:00","2016-12-27 10:16:00",29
"vsrv8","PPTP","2016-12-27 10:24:00","2016-12-27 10:26:00",2
"vsrv16","PPTP","2016-12-27 09:24:00","2016-12-27 10:27:00",63
"vsrv16","SSTP","2016-12-27 10:23:00","2016-12-27 10:31:00",8
"vsrv17","SSTP","2016-12-27 10:17:00","2016-12-27 10:46:00",29
"vsrv8","PPTP","2016-12-27 10:56:00","2016-12-27 10:57:00",1
"vsrv16","PPTP","2016-12-27 10:58:00","2016-12-27 10:58:00",0
"vsrv8","SSTP","2016-12-27 10:48:00","2016-12-27 11:01:00",13
"vsrv8","SSTP","2016-12-27 11:03:00","2016-12-27 11:09:00",6
"vsrv16","SSTP","2016-12-27 08:51:00","2016-12-27 11:12:00",141
"vsrv16","SSTP","2016-12-27 10:47:00","2016-12-27 11:16:00",29
"vsrv16","SSTP","2016-12-27 11:09:00","2016-12-27 11:25:00",16
"vsrv8","SSTP","2016-12-27 11:17:00","2016-12-27 11:46:00",29
"vsrv17","PPTP","2016-12-27 11:45:00","2016-12-27 11:52:00",7
"vsrv16","PPTP","2016-12-27 10:44:00","2016-12-27 11:55:00",71
"vsrv17","SSTP","2016-12-27 10:21:00","2016-12-27 12:00:00",99
"vsrv11","PPTP","2016-12-27 11:17:00","2016-12-27 12:13:00",56
"vsrv16","SSTP","2016-12-27 11:48:00","2016-12-27 12:16:00",28
"vsrv8","PPTP","2016-12-27 10:12:00","2016-12-27 12:20:00",128
"vsrv8","PPTP","2016-12-27 10:36:00","2016-12-27 12:21:00",105
"vsrv8","SSTP","2016-12-27 12:01:00","2016-12-27 12:21:00",20
"vsrv8","SSTP","2016-12-27 10:05:00","2016-12-27 12:28:00",143
"vsrv17","SSTP","2016-12-27 12:18:00","2016-12-27 12:41:00",23
"vsrv8","SSTP","2016-12-27 12:40:00","2016-12-27 12:56:00",16
"vsrv11","SOFTETHER","2016-12-27 12:49:00","2016-12-27 12:59:00",10
"vsrv17","SSTP","2016-12-27 12:53:00","2016-12-27 13:02:00",9
"vsrv16","PPTP","2016-12-27 12:46:00","2016-12-27 13:24:00",38
"vsrv8","PPTP","2016-12-27 11:43:00","2016-12-27 13:28:00",105
"vsrv17","SSTP","2016-12-27 13:09:00","2016-12-27 13:33:00",24
"vsrv17","PPTP","2016-12-27 13:36:00","2016-12-27 13:42:00",6
"vsrv17","SSTP","2016-12-27 09:47:00","2016-12-27 13:52:00",245
"vsrv8","PPTP","2016-12-27 13:55:00","2016-12-27 13:59:00",4
"vsrv16","PPTP","2016-12-27 13:54:00","2016-12-27 14:06:00",12
"vsrv8","PPTP","2016-12-27 13:31:00","2016-12-27 14:21:00",50
"vsrv17","SSTP","2016-12-27 13:34:00","2016-12-27 14:36:00",62
"vsrv11","SOFTETHER","2016-12-27 14:33:00","2016-12-27 14:37:00",4
"vsrv8","PPTP","2016-12-27 14:28:00","2016-12-27 14:58:00",30
"vsrv16","PPTP","2016-12-27 14:48:00","2016-12-27 15:03:00",15
"vsrv8","PPTP","2016-12-27 14:56:00","2016-12-27 15:16:00",20
"vsrv17","SSTP","2016-12-27 14:37:00","2016-12-27 15:16:00",39
"vsrv17","SSTP","2016-12-27 15:09:00","2016-12-27 15:17:00",8
"vsrv17","PPTP","2016-12-27 15:02:00","2016-12-27 15:20:00",18
"vsrv17","SSTP","2016-12-27 13:58:00","2016-12-27 15:23:00",85
"vsrv16","PPTP","2016-12-27 14:05:00","2016-12-27 15:23:00",78
"vsrv11","SOFTETHER","2016-12-27 15:02:00","2016-12-27 15:30:00",28
"vsrv8","PPTP","2016-12-26 18:11:00","2016-12-27 15:38:00",1287
"vsrv16","SSTP","2016-12-27 15:12:00","2016-12-27 15:49:00",37
"vsrv8","SSTP","2016-12-27 14:38:00","2016-12-27 16:04:00",86
"vsrv8","PPTP","2016-12-27 13:05:00","2016-12-27 16:13:00",188
"vsrv17","SSTP","2016-12-27 15:50:00","2016-12-27 16:18:00",28
"vsrv8","SSTP","2016-12-27 15:27:00","2016-12-27 16:19:00",52
"vsrv16","PPTP","2016-12-27 10:23:00","2016-12-27 16:19:00",356
"vsrv17","SSTP","2016-12-27 11:38:00","2016-12-27 16:19:00",281
"vsrv17","PPTP","2016-12-27 13:02:00","2016-12-27 16:24:00",202
"vsrv17","PPTP","2016-12-27 15:41:00","2016-12-27 16:31:00",50
"vsrv8","SSTP","2016-12-27 16:14:00","2016-12-27 16:47:00",33
"vsrv16","SSTP","2016-12-27 15:32:00","2016-12-27 16:48:00",76
"vsrv16","SSTP","2016-12-27 14:50:00","2016-12-27 16:48:00",118
"vsrv11","SOFTETHER","2016-12-27 08:58:00","2016-12-27 16:51:00",473
"vsrv16","PPTP","2016-12-27 15:15:00","2016-12-27 16:55:00",100
"vsrv17","PPTP","2016-12-27 13:53:00","2016-12-27 17:03:00",190
"vsrv16","PPTP","2016-12-27 15:20:00","2016-12-27 17:06:00",106
"vsrv17","SSTP","2016-12-27 13:02:00","2016-12-27 17:06:00",244
"vsrv17","PPTP","2016-12-27 16:57:00","2016-12-27 17:19:00",22
"vsrv16","SSTP","2016-12-27 16:03:00","2016-12-27 17:23:00",80
"vsrv16","PPTP","2016-12-27 16:26:00","2016-12-27 17:27:00",61
"vsrv16","PPTP","2016-12-27 17:27:00","2016-12-27 17:39:00",12
"vsrv8","OPENVPN_L2","2016-12-27 15:49:00","2016-12-27 17:45:00",116
"vsrv11","SSTP","2016-12-27 17:31:00","2016-12-27 17:47:00",16
"vsrv16","PPTP","2016-12-27 10:51:00","2016-12-27 18:09:00",438
"vsrv8","SSTP","2016-12-27 18:06:00","2016-12-27 18:09:00",3
"vsrv16","SSTP","2016-12-27 17:56:00","2016-12-27 18:20:00",24
"vsrv8","PPTP","2016-12-27 15:54:00","2016-12-27 18:30:00",156
"vsrv17","PPTP","2016-12-27 18:33:00","2016-12-27 18:33:00",0
"vsrv17","PPTP","2016-12-27 18:34:00","2016-12-27 18:36:00",2
"vsrv17","PPTP","2016-12-27 13:26:00","2016-12-27 18:37:00",311
"vsrv17","PPTP","2016-12-27 16:05:00","2016-12-27 18:37:00",152
"vsrv16","SSTP","2016-12-27 17:07:00","2016-12-27 18:44:00",97
"vsrv8","PPTP","2016-12-27 18:47:00","2016-12-27 18:48:00",1
"vsrv8","SSTP","2016-12-27 16:24:00","2016-12-27 18:50:00",146
"vsrv16","SSTP","2016-12-27 17:26:00","2016-12-27 18:53:00",87
"vsrv17","SSTP","2016-12-27 18:45:00","2016-12-27 18:55:00",10
"vsrv16","PPTP","2016-12-27 18:49:00","2016-12-27 19:00:00",11
"vsrv16","SSTP","2016-12-27 16:06:00","2016-12-27 19:06:00",180
"vsrv17","SSTP","2016-12-27 16:51:00","2016-12-27 19:06:00",135
"vsrv8","PPTP","2016-12-27 17:04:00","2016-12-27 19:11:00",127
"vsrv17","SSTP","2016-12-27 16:48:00","2016-12-27 19:12:00",144
"vsrv17","SSTP","2016-12-27 18:39:00","2016-12-27 19:12:00",33
"vsrv16","SSTP","2016-12-27 19:15:00","2016-12-27 19:19:00",4
"vsrv8","PPTP","2016-12-27 19:20:00","2016-12-27 19:20:00",0
"vsrv16","PPTP","2016-12-27 18:47:00","2016-12-27 19:23:00",36
"vsrv16","PPTP","2016-12-27 19:23:00","2016-12-27 19:25:00",2
"vsrv8","SSTP","2016-12-27 14:10:00","2016-12-27 19:34:00",324
"vsrv16","PPTP","2016-12-27 17:48:00","2016-12-27 19:36:00",108
"vsrv17","PPTP","2016-12-27 19:06:00","2016-12-27 19:40:00",34
"vsrv17","SSTP","2016-12-27 19:20:00","2016-12-27 19:41:00",21
"vsrv16","SSTP","2016-12-27 19:06:00","2016-12-27 19:43:00",37
"vsrv16","SSTP","2016-12-27 18:56:00","2016-12-27 19:45:00",49
"vsrv17","PPTP","2016-12-27 17:47:00","2016-12-27 19:45:00",118
"vsrv11","SSTP","2016-12-27 19:37:00","2016-12-27 19:48:00",11
"vsrv17","SSTP","2016-12-27 15:28:00","2016-12-27 19:56:00",268
"vsrv16","SSTP","2016-12-27 19:14:00","2016-12-27 20:09:00",55
"vsrv11","SSTP","2016-12-27 20:06:00","2016-12-27 20:10:00",4
"vsrv16","PPTP","2016-12-27 19:00:00","2016-12-27 20:19:00",79
"vsrv17","PPTP","2016-12-27 18:59:00","2016-12-27 20:22:00",83
"vsrv17","PPTP","2016-12-27 19:46:00","2016-12-27 20:32:00",46
"vsrv16","OPENVPN_L2","2016-12-27 17:53:00","2016-12-27 20:33:00",160
"vsrv8","SSTP","2016-12-27 19:50:00","2016-12-27 20:35:00",45
"vsrv17","SSTP","2016-12-27 17:28:00","2016-12-27 20:43:00",195
"vsrv8","SSTP","2016-12-27 19:59:00","2016-12-27 20:53:00",54
"vsrv8","PPTP","2016-12-27 20:27:00","2016-12-27 20:56:00",29
"vsrv17","OPENVPN_L2","2016-12-27 20:56:00","2016-12-27 20:57:00",1
"vsrv16","OPENVPN_L2","2016-12-27 20:58:00","2016-12-27 20:58:00",0
"vsrv16","PPTP","2016-12-27 19:24:00","2016-12-27 20:58:00",94
"vsrv16","PPTP","2016-12-27 19:20:00","2016-12-27 21:02:00",102
"vsrv8","PPTP","2016-12-27 19:42:00","2016-12-27 21:02:00",80
"vsrv17","PPTP","2016-12-27 20:05:00","2016-12-27 21:08:00",63
"vsrv16","PPTP","2016-12-27 21:00:00","2016-12-27 21:11:00",11
"vsrv8","SSTP","2016-12-27 20:12:00","2016-12-27 21:18:00",66
"vsrv8","SSTP","2016-12-27 21:19:00","2016-12-27 21:27:00",8
"vsrv8","SSTP","2016-12-27 15:55:00","2016-12-27 21:30:00",335
"vsrv16","SSTP","2016-12-27 21:10:00","2016-12-27 21:35:00",25
"vsrv17","SSTP","2016-12-27 21:27:00","2016-12-27 21:36:00",9
"vsrv16","SSTP","2016-12-27 21:37:00","2016-12-27 21:38:00",1
"vsrv8","SSTP","2016-12-27 21:38:00","2016-12-27 21:39:00",1
"vsrv8","PPTP","2016-12-27 20:06:00","2016-12-27 21:39:00",93
"vsrv17","SSTP","2016-12-27 21:39:00","2016-12-27 21:40:00",1
"vsrv8","PPTP","2016-12-27 19:15:00","2016-12-27 21:49:00",154
"vsrv17","PPTP","2016-12-27 20:24:00","2016-12-27 21:52:00",88
"vsrv17","PPTP","2016-12-27 21:43:00","2016-12-27 22:00:00",17
"vsrv16","SSTP","2016-12-27 21:40:00","2016-12-27 22:01:00",21
"vsrv8","SSTP","2016-12-27 20:54:00","2016-12-27 22:09:00",75
"vsrv8","PPTP","2016-12-27 21:30:00","2016-12-27 22:10:00",40
"vsrv16","PPTP","2016-12-27 21:02:00","2016-12-27 22:11:00",69
"vsrv8","PPTP","2016-12-27 22:00:00","2016-12-27 22:12:00",12
"vsrv17","PPTP","2016-12-27 22:12:00","2016-12-27 22:16:00",4
"vsrv17","PPTP","2016-12-27 22:17:00","2016-12-27 22:19:00",2
"vsrv16","PPTP","2016-12-27 22:15:00","2016-12-27 22:20:00",5
"vsrv16","PPTP","2016-12-27 21:50:00","2016-12-27 22:21:00",31
"vsrv17","PPTP","2016-12-27 22:19:00","2016-12-27 22:24:00",5
"vsrv17","PPTP","2016-12-27 22:22:00","2016-12-27 22:28:00",6
"vsrv17","PPTP","2016-12-27 18:42:00","2016-12-27 22:28:00",226
"vsrv17","SSTP","2016-12-27 19:12:00","2016-12-27 22:33:00",201
"vsrv17","PPTP","2016-12-27 19:09:00","2016-12-27 22:35:00",206
"vsrv17","PPTP","2016-12-27 22:24:00","2016-12-27 22:36:00",12
"vsrv17","PPTP","2016-12-27 22:45:00","2016-12-27 22:47:00",2
"vsrv8","PPTP","2016-12-27 21:28:00","2016-12-27 22:47:00",79
"vsrv16","PPTP","2016-12-27 21:53:00","2016-12-27 23:00:00",67
"vsrv8","PPTP","2016-12-27 21:09:00","2016-12-27 23:00:00",111
"vsrv8","PPTP","2016-12-27 23:01:00","2016-12-27 23:08:00",7
"vsrv16","SSTP","2016-12-27 22:47:00","2016-12-27 23:09:00",22
"vsrv16","PPTP","2016-12-27 17:01:00","2016-12-27 23:09:00",368
"vsrv17","SSTP","2016-12-27 19:22:00","2016-12-27 23:12:00",230
"vsrv16","PPTP","2016-12-27 23:14:00","2016-12-27 23:16:00",2
"vsrv8","PPTP","2016-12-27 22:19:00","2016-12-27 23:20:00",61
"vsrv8","PPTP","2016-12-27 22:57:00","2016-12-27 23:21:00",24
"vsrv16","OPENVPN_L2","2016-12-27 21:39:00","2016-12-27 23:29:00",110
"vsrv17","PPTP","2016-12-27 23:10:00","2016-12-27 23:29:00",19
"vsrv8","PPTP","2016-12-27 23:23:00","2016-12-27 23:31:00",8
"vsrv8","PPTP","2016-12-27 22:48:00","2016-12-27 23:37:00",49
"vsrv8","SSTP","2016-12-27 23:37:00","2016-12-27 23:38:00",1
"vsrv8","PPTP","2016-12-27 21:34:00","2016-12-27 23:40:00",126
"vsrv17","PPTP","2016-12-27 22:39:00","2016-12-27 23:51:00",72
"vsrv17","SSTP","2016-12-27 23:40:00","2016-12-28",20
"vsrv17","PPTP","2016-12-27 23:16:00","2016-12-28 00:02:00",46
"vsrv16","SSTP","2016-12-27 17:41:00","2016-12-28 00:11:00",390
"vsrv16","SSTP","2016-12-27 23:30:00","2016-12-28 00:13:00",43
"vsrv17","PPTP","2016-12-28 00:08:00","2016-12-28 00:14:00",6
"vsrv8","PPTP","2016-12-27 22:43:00","2016-12-28 00:21:00",98
"vsrv16","PPTP","2016-12-28 00:26:00","2016-12-28 00:26:00",0
"vsrv16","SSTP","2016-12-27 20:14:00","2016-12-28 00:50:00",276
"vsrv8","PPTP","2016-12-28 00:14:00","2016-12-28 00:57:00",43
"vsrv8","PPTP","2016-12-28 00:50:00","2016-12-28 01:06:00",16
"vsrv16","SSTP","2016-12-27 21:31:00","2016-12-28 01:08:00",217
"vsrv11","SSTP","2016-12-28 00:49:00","2016-12-28 01:08:00",19
"vsrv8","SSTP","2016-12-28 01:07:00","2016-12-28 01:10:00",3
