"Carimbo de data/hora","Sexo:","Idade","Nacionalidade","Utiliza a aplicação Firefox","Utiliza para aceder a:","Que funcionalidades do Firefox mais prefere?","Em que plataforma(s) utiliza o FireFox"," Responda às seguintes questões com valores entre 1 (Muito Insatisfeito) a 5 (Muito Satisfeito) consoante o seu nível de satisfação. [Facilidade de uso]"," Responda às seguintes questões com valores entre 1 (Muito Insatisfeito) a 5 (Muito Satisfeito) consoante o seu nível de satisfação. [Interface do Navegador]"," Responda às seguintes questões com valores entre 1 (Muito Insatisfeito) a 5 (Muito Satisfeito) consoante o seu nível de satisfação. [Utilização do Histórico]"," Responda às seguintes questões com valores entre 1 (Muito Insatisfeito) a 5 (Muito Satisfeito) consoante o seu nível de satisfação. [Variedade de extensões / temas]"," Responda às seguintes questões com valores entre 1 (Muito Insatisfeito) a 5 (Muito Satisfeito) consoante o seu nível de satisfação. [Personalização do Navegador]"," Responda às seguintes questões com valores entre 1 (Muito Insatisfeito) a 5 (Muito Satisfeito) consoante o seu nível de satisfação. [Qualidade da loja online]"," Responda às seguintes questões com valores entre 1 (Muito Complicado) a 5 (Muito Intuitivo) consoante o seu nível de satisfação. [Primeira utilização ]"," Responda às seguintes questões com valores entre 1 (Muito Complicado) a 5 (Muito Intuitivo) consoante o seu nível de satisfação. [Instalação]"," Responda às seguintes questões com valores entre 1 (Muito Complicado) a 5 (Muito Intuitivo) consoante o seu nível de satisfação. [Pesquisa de extensões / temas]"," Responda às seguintes questões com valores entre 1 (Muito Complicado) a 5 (Muito Intuitivo) consoante o seu nível de satisfação. [Resolução de problemas]","Frequência de utilização por dia","Há quanto tempo utiliza o Firefox","Qual é a razão de não utilizar Firefox?"
"2018/04/11 12:56:48 da tarde CET","Masculino","26-40","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Noticias;Trabalho;Enciclopédias online;Download de software","Rapidez de navegação;Não é o chrome","Desktop;Mobile","4","4","4","3","4","2","4","4","2","2","3 - 4 horas","Mais de 4 anos",""
"2018/04/11 12:59:33 da tarde CET","Attack Helicopter","Menor que 10","Bangladesh","Sim / Já utilizei","Desporto;Forums de discussão online;Helicopter magazines","Melhor proteção em navegação anónima;Sincronização com dispositivos moveis","Mobile;Platform 2 while waiting for take off","3","3","3","3","3","3","2","2","5","2","Mais de 6 horas","Menos de 1 ano",""
"2018/04/11 1:03:50 da tarde CET","Feminino","18-25","Portugal","Não","","","","","","","","","","","","","","","","Utilizo outro browser"
"2018/04/11 1:08:34 da tarde CET","Prefiro não dizer","10-17","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Blogs;Desporto;Noticias;Trabalho;Enciclopédias online;Forums de discussão online;Download de software","Rapidez de navegação;Baixa utilização de memoria","Desktop;Mobile","5","5","4","4","4","4","3","3","3","4","3 - 4 horas","Menos de 1 ano",""
"2018/04/11 1:09:57 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Desporto;Email","Rapidez de navegação;Personalização do navegador","Desktop","5","4","4","4","5","5","5","4","5","3","3 - 4 horas","Menos de 1 ano",""
"2018/04/11 1:10:13 da tarde CET","Masculino","18-25","Heard Island and McDonald Islands","Sim / Já utilizei","Youtube;Trabalho","Baixa utilização de memoria","Desktop","4","4","4","4","4","4","4","4","4","4","Menos de 1 hora","Menos de 1 ano",""
"2018/04/11 1:10:39 da tarde CET","Masculino","18-25","Portugal","Não","","","","","","","","","","","","","","","","Utilizo outro browser"
"2018/04/11 1:11:35 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube","Baixa utilização de memoria;Personalização do navegador;Variedade de extensões/temas","Desktop","4","4","4","4","4","4","3","4","4","4","Menos de 1 hora","1 - 2 anos",""
"2018/04/11 1:11:42 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Youtube","Baixa utilização de memoria","Desktop","4","5","4","4","4","5","5","4","4","3","3 - 4 horas","1 - 2 anos",""
"2018/04/11 1:12:59 da tarde CET","Masculino","10-17","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Desporto;Trabalho","Rapidez de navegação;Baixa utilização de memoria","Desktop;Mobile","4","3","4","5","4","5","4","4","5","1","1 - 2 horas","3 - 4 anos",""
"2018/04/11 1:15:53 da tarde CET","Feminino","18-25","Portugal","Sim / Já utilizei","Blogs;Noticias;Trabalho;Enciclopédias online","Rapidez de navegação","Desktop","5","4","3","5","4","4","4","4","4","4","1 - 2 horas","3 - 4 anos",""
"2018/04/11 1:18:14 da tarde CET","Feminino","18-25","Portugal","Não","","","","","","","","","","","","","","","","Utilizo outro browser"
"2018/04/11 1:18:52 da tarde CET","Feminino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Trabalho;Enciclopédias online;Download de software","Rapidez de navegação","Desktop","5","5","5","5","5","5","5","5","5","4","1 - 2 horas","1 - 2 anos",""
"2018/04/11 1:20:07 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube","Rapidez de navegação;Baixa utilização de memoria","Desktop","5","5","5","4","3","3","4","5","3","3","Menos de 1 hora","3 - 4 anos",""
"2018/04/11 1:24:47 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Blogs;Desporto;Noticias;Trabalho;Enciclopédias online;Forums de discussão online;Download de software","Baixa utilização de memoria;Personalização do navegador;Melhor proteção em navegação anónima","Desktop","4","5","4","3","5","4","4","5","4","4","1 - 2 horas","3 - 4 anos",""
"2018/04/11 1:26:20 da tarde CET","Feminino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Enciclopédias online","Baixa utilização de memoria;Personalização do navegador;Variedade de extensões/temas","Desktop","5","5","5","5","5","5","4","4","4","4","1 - 2 horas","1 - 2 anos",""
"2018/04/11 1:26:52 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Desporto","Rapidez de navegação;Baixa utilização de memoria","Desktop","5","4","5","3","4","5","5","5","5","3","1 - 2 horas","1 - 2 anos",""
"2018/04/11 1:36:02 da tarde CET","Feminino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Blogs;Noticias;Trabalho","Melhor proteção em navegação anónima;Variedade de extensões/temas","Desktop;Mobile","4","4","4","4","4","4","3","3","3","3","1 - 2 horas","1 - 2 anos",""
"2018/04/11 1:41:21 da tarde CET","Feminino","41-50","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Blogs;Noticias","Rapidez de navegação;Baixa utilização de memoria","Desktop","3","3","3","2","2","2","3","3","3","2","1 - 2 horas","Menos de 1 ano",""
"2018/04/11 1:58:12 da tarde CET","Feminino","26-40","Portugal","Não","","","","","","","","","","","","","","","","Nao utilizo este tipo de programas."
"2018/04/11 2:04:24 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Blogs;Desporto;Noticias;Trabalho;Enciclopédias online;Forums de discussão online;Download de software","Rapidez de navegação;Baixa utilização de memoria","Desktop","4","4","4","4","3","3","5","5","5","5","1 - 2 horas","3 - 4 anos",""
"2018/04/11 2:17:24 da tarde CET","Masculino","26-40","Portugal","Sim / Já utilizei","Trabalho","Personalização do navegador","Mobile","3","3","4","3","3","3","3","4","3","3","1 - 2 horas","3 - 4 anos",""
"2018/04/11 2:30:45 da tarde CET","Feminino","41-50","Portugal","Sim / Já utilizei","Redes sociais;Noticias;Trabalho","Rapidez de navegação;Melhor proteção em navegação anónima","Desktop","2","2","2","2","2","3","4","4","4","4","5 - 6 horas","Mais de 4 anos",""
"2018/04/11 2:38:27 da tarde CET","Feminino","26-40","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Enciclopédias online;Download de software","Rapidez de navegação;Personalização do navegador;Melhor proteção em navegação anónima","Desktop","5","4","4","4","5","4","5","4","5","4","1 - 2 horas","1 - 2 anos",""
"2018/04/11 2:41:53 da tarde CET","Masculino","26-40","Portugal","Sim / Já utilizei","Redes sociais;Youtube","Personalização do navegador","Desktop","5","5","5","4","5","3","5","5","5","3","Menos de 1 hora","Mais de 4 anos",""
"2018/04/11 2:41:56 da tarde CET","Feminino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Trabalho","Rapidez de navegação","Desktop","5","5","5","5","5","5","5","5","5","5","Menos de 1 hora","Mais de 4 anos",""
"2018/04/11 4:37:19 da tarde CET","Masculino","26-40","Portugal","Não","","","","","","","","","","","","","","","","Utilizo outro browser"
"2018/04/11 5:15:16 da tarde CET","Feminino","26-40","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Noticias;Trabalho","Rapidez de navegação","Desktop","3","3","3","3","3","3","3","3","3","3","Menos de 1 hora","Mais de 4 anos",""
"2018/04/11 6:15:48 da tarde CET","Feminino","18-25","Portugal","Sim / Já utilizei","Trabalho;Download de software","Variedade de extensões/temas","Desktop","3","3","3","3","3","3","3","3","3","3","Menos de 1 hora","Menos de 1 ano",""
"2018/04/11 6:58:57 da tarde CET","Masculino","26-40","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Blogs;Desporto;Noticias;Trabalho;Enciclopédias online;Forums de discussão online;Download de software;utilizo para tudo","Rapidez de navegação;Baixa utilização de memoria;Personalização do navegador","Desktop","5","5","5","5","5","5","5","5","5","5","Mais de 6 horas","Mais de 4 anos",""
"2018/04/11 7:01:46 da tarde CET","Masculino","18-25","United States","Não","","","","","","","","","","","","","","","","Utilizo outro browser"
"2018/04/11 7:03:48 da tarde CET","Masculino","26-40","Portugal","Não","","","","","","","","","","","","","","","","Utilizo outro browser;Chrome "
"2018/04/11 7:04:24 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Noticias;Trabalho;Enciclopédias online;Forums de discussão online;Download de software","Rapidez de navegação;Baixa utilização de memoria","Desktop;Mobile","5","5","4","3","4","3","5","5","4","3","Mais de 6 horas","Mais de 4 anos",""
"2018/04/11 7:05:44 da tarde CET","Feminino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube","Rapidez de navegação","Desktop","3","4","3","4","4","3","3","3","4","3","Mais de 6 horas","Mais de 4 anos",""
"2018/04/11 7:10:56 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Porno","Melhor proteção em navegação anónima","Desktop","1","1","1","1","1","1","2","2","2","2","Menos de 1 hora","Mais de 4 anos",""
"2018/04/11 7:41:11 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Blogs;Download de software","Rapidez de navegação;Baixa utilização de memoria;Variedade de extensões/temas","Desktop","5","5","5","5","5","3","5","5","5","2","1 - 2 horas","Mais de 4 anos",""
"2018/04/11 9:28:46 da tarde CET","Masculino","Maior que 50","Portugal","Sim / Já utilizei","Trabalho","Rapidez de navegação","Desktop","4","4","4","4","5","4","4","5","4","4","Menos de 1 hora","3 - 4 anos",""
"2018/04/11 10:15:29 da tarde CET","Feminino","18-25","Portugal","Não","","","","","","","","","","","","","","","","Problemas de performance;Utilizo outro browser"
"2018/04/11 10:23:55 da tarde CET","Feminino","26-40","Portugal","Não","","","","","","","","","","","","","","","","Utilizo outro browser"
"2018/04/12 1:57:06 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Enciclopédias online;Forums de discussão online;Download de software","Rapidez de navegação;Baixa utilização de memoria","Desktop","5","4","4","4","4","4","4","4","4","3","3 - 4 horas","3 - 4 anos",""
"2018/04/12 9:20:59 da tarde CET","Feminino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Trabalho;Download de software","Rapidez de navegação;Baixa utilização de memoria","Desktop","4","4","3","3","4","3","4","4","3","4","1 - 2 horas","1 - 2 anos",""
"2018/04/12 9:24:38 da tarde CET","Masculino","41-50","Portugal","Sim / Já utilizei","Desporto;Noticias;Trabalho","Rapidez de navegação","Desktop","5","5","4","4","4","4","5","5","4","5","Mais de 6 horas","3 - 4 anos",""
"2018/04/12 9:25:24 da tarde CET","Masculino","26-40","Portugal","Não","","","","","","","","","","","","","","","","Problemas de performance;Utilizo outro browser"
"2018/04/12 9:28:30 da tarde CET","Feminino","Maior que 50","Portugal","Sim / Já utilizei","Noticias;Trabalho;Forums de discussão online","Rapidez de navegação;Baixa utilização de memoria;Personalização do navegador","Desktop","4","4","4","4","4","4","3","3","3","4","3 - 4 horas","Menos de 1 ano",""
"2018/04/12 9:29:31 da tarde CET","Feminino","Menor que 10","Portugal","Não","","","","","","","","","","","","","","","","Utilizo outro browser"
"2018/04/12 9:32:41 da tarde CET","Masculino","10-17","Portugal","Sim / Já utilizei","Jogos","Rapidez de navegação","Desktop;Mobile","5","5","5","5","5","5","5","5","5","5","3 - 4 horas","1 - 2 anos",""
"2018/04/12 9:35:00 da tarde CET","Feminino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Blogs;Trabalho","Rapidez de navegação","Desktop;Mobile","4","3","3","3","4","3","4","4","4","4","Mais de 6 horas","1 - 2 anos",""
"2018/04/12 9:38:12 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Youtube;Noticias;Trabalho;Enciclopédias online;Forums de discussão online;Download de software","Rapidez de navegação;Baixa utilização de memoria;Variedade de extensões/temas;Sincronização com dispositivos moveis","Desktop;Mobile;Tablet","5","5","5","5","4","4","4","5","4","5","5 - 6 horas","Mais de 4 anos",""
"2018/04/12 9:39:17 da tarde CET","Feminino","26-40","Portugal","Não","","","","","","","","","","","","","","","","Problemas de performance;Utilizo outro browser"
"2018/04/12 9:44:14 da tarde CET","Feminino","10-17","Portugal","Sim / Já utilizei","Redes sociais;Youtube","Rapidez de navegação;Personalização do navegador;Melhor proteção em navegação anónima","Desktop;Mobile","5","4","4","4","5","4","4","3","3","3","5 - 6 horas","Menos de 1 ano",""
"2018/04/12 9:47:36 da tarde CET","Masculino","10-17","Portugal","Sim / Já utilizei","Desporto;Noticias;Trabalho","Baixa utilização de memoria;Melhor proteção em navegação anónima;Sincronização com dispositivos moveis","Desktop;Mobile","3","3","3","3","3","3","3","3","3","3","3 - 4 horas","Menos de 1 ano",""
"2018/04/12 9:48:47 da tarde CET","Feminino","Maior que 50","Portugal","Não","","","","","","","","","","","","","","","","Utilizo outro browser"
"2018/04/12 9:52:40 da tarde CET","Feminino","26-40","Portugal","Sim / Já utilizei","Blogs;Noticias;Trabalho","Rapidez de navegação","Desktop","3","4","3","3","3","3","4","4","3","4","3 - 4 horas","Menos de 1 ano",""
"2018/04/12 9:54:57 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Desporto;Noticias;Trabalho;Forums de discussão online;Download de software","Rapidez de navegação;Baixa utilização de memoria;Personalização do navegador;Melhor proteção em navegação anónima;Variedade de extensões/temas;Sincronização com dispositivos moveis","Desktop;Mobile","5","5","5","5","5","5","5","5","5","5","Mais de 6 horas","Mais de 4 anos",""
"2018/04/12 10:00:34 da tarde CET","Feminino","26-40","Portugal","Sim / Já utilizei","Redes sociais;Youtube;Desporto;Noticias;Trabalho;Enciclopédias online;Download de software","Baixa utilização de memoria","Desktop","4","3","2","2","3","2","3","3","2","2","1 - 2 horas","Menos de 1 ano",""
"2018/04/12 10:12:05 da tarde CET","Masculino","18-25","Portugal","Não","","","","","","","","","","","","","","","","Problemas de performance;Utilizo outro browser"
"2018/04/12 10:12:45 da tarde CET","Feminino","18-25","Portugal","Não","","","","","","","","","","","","","","","","Incompatibilidade com o dispositivo utilizado;Dificuldade na importação de marcadores;Problemas de performance;Sistema operativo;Utilizo outro browser"
"2018/04/12 10:28:27 da tarde CET","Masculino","41-50","Portugal","Sim / Já utilizei","Desporto;Notícias","Rapidez de navegação","Desktop","5","5","5","4","5","5","5","5","5","5","1 - 2 horas","3 - 4 anos",""
"2018/04/12 10:32:45 da tarde CET","Feminino","10-17","Portugal","Sim / Já utilizei","Redes sociais;Youtube","Rapidez de navegação;Personalização do navegador","Desktop","4","4","4","4","4","4","5","3","3","4","1 - 2 horas","Menos de 1 ano",""
"2018/04/12 10:33:34 da tarde CET","Masculino","10-17","Portugal","Não","","","","","","","","","","","","","","","","Problemas de performance;Sistema operativo;Utilizo outro browser"
"2018/04/12 10:34:56 da tarde CET","Masculino","18-25","Portugal","Sim / Já utilizei","Youtube;Trabalho;Fórums de discussão online;Download de software","Rapidez de navegação;Baixa utilização de memória;Personalização do navegador;Melhor proteção em navegação anónima;Variedade de extensões/temas;Sincronização com dispositivos móveis","Desktop;Mobile","5","5","5","5","5","5","5","5","5","5","5 - 6 horas","Mais de 4 anos",""
